지역 명,시설구분,시설명,상세주소,위도,경도,수용면적,수용인원,내진설계
광주광역시 서구 광천동,강당,효광초등학교,광천2길 33,35.16664606,126.8796935,559,169,ㅇ
광주광역시 서구 치평동,강당,치평초등학교,상무평화로 43,35.14870753,126.8436805,290,88,ㅇ
광주광역시 서구 화정동,강당,화정초등학교,월드컵4강로146번길 10,35.148943,126.871878,530,160,ㅇ
광주광역시 서구 화정동,강당,성진초등학교,백일길 16,35.14324502,126.8663325,595,180,ㅇ
광주광역시 서구 세하동,강당,송학초등학교,눌재로 408,35.11360247,126.8304529,364,110,ㅇ
광주광역시 서구 동천동,강당,빛고을초등학교,동림로 7,35.169277,126.859426,493,149,ㅇ
광주광역시 서구 치평동,강당,계수초등학교,상무시민로 51,35.1558926,126.8448756,490,148,ㅇ
광주광역시 서구 화정동,강당,주월초등학교,화운로 36,35.14454434,126.8838771,526,159,ㅇ
광주광역시 서구 금호동,강당,상무초등학교,금호운천길 67,35.140675,126.855286,486,147,ㅇ
광주광역시 서구 치평동,강당,전남중학교,상무공원로 70,35.15078115,126.843677,528,160,ㅇ
광주광역시 서구 매월동,강당,대동고등학교,전평길50,35.11944358,126.848975,642,194,ㅇ
광주광역시 서구 화정동,강당,광주여자고등학교,상무대로1014번길 43,35.14800014,126.8733557,"1,964",595,ㅇ
광주광역시 서구 쌍촌동,강당,상무고등학교,버들로 54번길 5,35.15484334,126.8602662,"1,034",313,ㅇ
광주광역시 서구 풍암동,체육관,빛고을체육관,금화로 278,35.135373,126.877517,"5,612","1,700",ㅇ
