,month,TIME,H_MAX
0,1월,0,276389
1,1월,1,282640
2,1월,2,286346
3,1월,3,288799
4,1월,4,288316
5,1월,5,285603
6,1월,6,280066
7,1월,7,267916
8,1월,8,255465
9,1월,9,242340
10,1월,10,225364
11,1월,11,207355
12,1월,12,197477
13,1월,13,194293
14,1월,14,188841
15,1월,15,189393
16,1월,16,195125
17,1월,17,201700
18,1월,18,209562
19,1월,19,218904
20,1월,20,230387
21,1월,21,244105
22,1월,22,256269
23,1월,23,268244
24,2월,0,285232
25,2월,1,292130
26,2월,2,296428
27,2월,3,298489
28,2월,4,298749
29,2월,5,296427
30,2월,6,290835
31,2월,7,280497
32,2월,8,268704
33,2월,9,254681
34,2월,10,237243
35,2월,11,221002
36,2월,12,210461
37,2월,13,207338
38,2월,14,202420
39,2월,15,201549
40,2월,16,205992
41,2월,17,213607
42,2월,18,220563
43,2월,19,229628
44,2월,20,241880
45,2월,21,255495
46,2월,22,267883
47,2월,23,279443
48,3월,0,282827
49,3월,1,288720
50,3월,2,292357
51,3월,3,294195
52,3월,4,294024
53,3월,5,291420
54,3월,6,285942
55,3월,7,272367
56,3월,8,260801
57,3월,9,248178
58,3월,10,232801
59,3월,11,216150
60,3월,12,201588
61,3월,13,195450
62,3월,14,190932
63,3월,15,191288
64,3월,16,196799
65,3월,17,203717
66,3월,18,211512
67,3월,19,221144
68,3월,20,232929
69,3월,21,247893
70,3월,22,261519
71,3월,23,274715
72,4월,0,275372
73,4월,1,281608
74,4월,2,284770
75,4월,3,286247
76,4월,4,285852
77,4월,5,283023
78,4월,6,276851
79,4월,7,261403
80,4월,8,244190
81,4월,9,227841
82,4월,10,209962
83,4월,11,193873
84,4월,12,183286
85,4월,13,178765
86,4월,14,177621
87,4월,15,181224
88,4월,16,188018
89,4월,17,196049
90,4월,18,203456
91,4월,19,212623
92,4월,20,224010
93,4월,21,239753
94,4월,22,254625
95,4월,23,267601
96,5월,0,278273
97,5월,1,284903
98,5월,2,288698
99,5월,3,290261
100,5월,4,290022
101,5월,5,286739
102,5월,6,279405
103,5월,7,263285
104,5월,8,248715
105,5월,9,229435
106,5월,10,211356
107,5월,11,193719
108,5월,12,181298
109,5월,13,175503
110,5월,14,172309
111,5월,15,174034
112,5월,16,180881
113,5월,17,189171
114,5월,18,197657
115,5월,19,208275
116,5월,20,221634
117,5월,21,238880
118,5월,22,255217
119,5월,23,269094
120,6월,0,279702
121,6월,1,287603
122,6월,2,291121
123,6월,3,292802
124,6월,4,292491
125,6월,5,289455
126,6월,6,281145
127,6월,7,263990
128,6월,8,248418
129,6월,9,233936
130,6월,10,215882
131,6월,11,199093
132,6월,12,185831
133,6월,13,181215
134,6월,14,177098
135,6월,15,177536
136,6월,16,182761
137,6월,17,190524
138,6월,18,198592
139,6월,19,209020
140,6월,20,222549
141,6월,21,239181
142,6월,22,256415
143,6월,23,270275
144,7월,0,266023
145,7월,1,270679
146,7월,2,273511
147,7월,3,275012
148,7월,4,275357
149,7월,5,273746
150,7월,6,267073
151,7월,7,251761
152,7월,8,240596
153,7월,9,227991
154,7월,10,214333
155,7월,11,200729
156,7월,12,191565
157,7월,13,188265
158,7월,14,186968
159,7월,15,190072
160,7월,16,194039
161,7월,17,199338
162,7월,18,204600
163,7월,19,210896
164,7월,20,220722
165,7월,21,234794
166,7월,22,248246
167,7월,23,259353
168,8월,0,267841
169,8월,1,275118
170,8월,2,279165
171,8월,3,281164
172,8월,4,281840
173,8월,5,279908
174,8월,6,271873
175,8월,7,254656
176,8월,8,235021
177,8월,9,219901
178,8월,10,204528
179,8월,11,206317
180,8월,12,178819
181,8월,13,175586
182,8월,14,174131
183,8월,15,176443
184,8월,16,180977
185,8월,17,186956
186,8월,18,197737
187,8월,19,231427
188,8월,20,217583
189,8월,21,228780
190,8월,22,244554
191,8월,23,258861
192,9월,0,272096
193,9월,1,275220
194,9월,2,276840
195,9월,3,277757
196,9월,4,275805
197,9월,5,273142
198,9월,6,263763
199,9월,7,249384
200,9월,8,236238
201,9월,9,221399
202,9월,10,206384
203,9월,11,189206
204,9월,12,181389
205,9월,13,176291
206,9월,14,172753
207,9월,15,174168
208,9월,16,180696
209,9월,17,188842
210,9월,18,201002
211,9월,19,211630
212,9월,20,226499
213,9월,21,242060
214,9월,22,254999
215,9월,23,265540
216,10월,0,268495
217,10월,1,271450
218,10월,2,271821
219,10월,3,274351
220,10월,4,273928
221,10월,5,270882
222,10월,6,261562
223,10월,7,245184
224,10월,8,232682
225,10월,9,219860
226,10월,10,202126
227,10월,11,186750
228,10월,12,180504
229,10월,13,175156
230,10월,14,173693
231,10월,15,170658
232,10월,16,174867
233,10월,17,182453
234,10월,18,195438
235,10월,19,207450
236,10월,20,222789
237,10월,21,237498
238,10월,22,251259
239,10월,23,262551
240,11월,0,276176
241,11월,1,284552
242,11월,2,289725
243,11월,3,297518
244,11월,4,288042
245,11월,5,282130
246,11월,6,273562
247,11월,7,256124
248,11월,8,232931
249,11월,9,216013
250,11월,10,198661
251,11월,11,182561
252,11월,12,174198
253,11월,13,169617
254,11월,14,166247
255,11월,15,169754
256,11월,16,180389
257,11월,17,190288
258,11월,18,201306
259,11월,19,213303
260,11월,20,262648
261,11월,21,242285
262,11월,22,256621
263,11월,23,269114
264,12월,0,273361
265,12월,1,277531
266,12월,2,279413
267,12월,3,282948
268,12월,4,278912
269,12월,5,281898
270,12월,6,272007
271,12월,7,258284
272,12월,8,246848
273,12월,9,234948
274,12월,10,216761
275,12월,11,199434
276,12월,12,191334
277,12월,13,186965
278,12월,14,184116
279,12월,15,185588
280,12월,16,192850
281,12월,17,201422
282,12월,18,209995
283,12월,19,219303
284,12월,20,232048
285,12월,21,247326
286,12월,22,258996
287,12월,23,269209
