,sigungu_nm,TIME,A_MAX
0,강서구,0,101901
1,강서구,1,101506
2,강서구,2,101753
3,강서구,3,102674
4,강서구,4,101700
5,강서구,5,101336
6,강서구,6,103868
7,강서구,7,114216
8,강서구,8,125480
9,강서구,9,124422
10,강서구,10,124574
11,강서구,11,125635
12,강서구,12,124090
13,강서구,13,122801
14,강서구,14,122298
15,강서구,15,123319
16,강서구,16,121174
17,강서구,17,119461
18,강서구,18,111703
19,강서구,19,107576
20,강서구,20,104251
21,강서구,21,101471
22,강서구,22,99788
23,강서구,23,101243
24,기장군,0,31979
25,기장군,1,31723
26,기장군,2,31826
27,기장군,3,31850
28,기장군,4,31899
29,기장군,5,32197
30,기장군,6,34085
31,기장군,7,39517
32,기장군,8,42578
33,기장군,9,39317
34,기장군,10,38936
35,기장군,11,41909
36,기장군,12,47674
37,기장군,13,52937
38,기장군,14,56196
39,기장군,15,56506
40,기장군,16,54689
41,기장군,17,51364
42,기장군,18,46289
43,기장군,19,42308
44,기장군,20,39048
45,기장군,21,35767
46,기장군,22,33317
47,기장군,23,32444
48,남구,0,99266
49,남구,1,100106
50,남구,2,100708
51,남구,3,100668
52,남구,4,100507
53,남구,5,99815
54,남구,6,98251
55,남구,7,96784
56,남구,8,96669
57,남구,9,95698
58,남구,10,94511
59,남구,11,91961
60,남구,12,89989
61,남구,13,88781
62,남구,14,87638
63,남구,15,87316
64,남구,16,87821
65,남구,17,88003
66,남구,18,88789
67,남구,19,90737
68,남구,20,93201
69,남구,21,96129
70,남구,22,96280
71,남구,23,98019
72,동구,0,58504
73,동구,1,57436
74,동구,2,55599
75,동구,3,55221
76,동구,4,54697
77,동구,5,54813
78,동구,6,56949
79,동구,7,64045
80,동구,8,84330
81,동구,9,97284
82,동구,10,103068
83,동구,11,107048
84,동구,12,108358
85,동구,13,108564
86,동구,14,107687
87,동구,15,105795
88,동구,16,103370
89,동구,17,102666
90,동구,18,98262
91,동구,19,84405
92,동구,20,77314
93,동구,21,73610
94,동구,22,66427
95,동구,23,61364
96,사하구,0,120728
97,사하구,1,122031
98,사하구,2,122127
99,사하구,3,122953
100,사하구,4,122581
101,사하구,5,121587
102,사하구,6,120324
103,사하구,7,119258
104,사하구,8,120539
105,사하구,9,117195
106,사하구,10,113884
107,사하구,11,111421
108,사하구,12,109566
109,사하구,13,107417
110,사하구,14,106979
111,사하구,15,107423
112,사하구,16,108526
113,사하구,17,109132
114,사하구,18,109249
115,사하구,19,110880
116,사하구,20,113004
117,사하구,21,114272
118,사하구,22,116473
119,사하구,23,118913
120,서구,0,58785
121,서구,1,58658
122,서구,2,59320
123,서구,3,59667
124,서구,4,59780
125,서구,5,60403
126,서구,6,60211
127,서구,7,59987
128,서구,8,60933
129,서구,9,61305
130,서구,10,60621
131,서구,11,59530
132,서구,12,57452
133,서구,13,56108
134,서구,14,56029
135,서구,15,55368
136,서구,16,54809
137,서구,17,53186
138,서구,18,52664
139,서구,19,53128
140,서구,20,54503
141,서구,21,55446
142,서구,22,56329
143,서구,23,57574
144,수영구,0,116383
145,수영구,1,112171
146,수영구,2,107003
147,수영구,3,105016
148,수영구,4,103822
149,수영구,5,102516
150,수영구,6,102240
151,수영구,7,106404
152,수영구,8,109411
153,수영구,9,106575
154,수영구,10,108671
155,수영구,11,111227
156,수영구,12,116216
157,수영구,13,119545
158,수영구,14,126050
159,수영구,15,130663
160,수영구,16,142323
161,수영구,17,165800
162,수영구,18,202503
163,수영구,19,237673
164,수영구,20,267087
165,수영구,21,211535
166,수영구,22,151164
167,수영구,23,128681
168,영도구,0,171243
169,영도구,1,171942
170,영도구,2,171867
171,영도구,3,171567
172,영도구,4,171141
173,영도구,5,170054
174,영도구,6,168858
175,영도구,7,169514
176,영도구,8,171945
177,영도구,9,173038
178,영도구,10,175347
179,영도구,11,176785
180,영도구,12,176472
181,영도구,13,175076
182,영도구,14,175147
183,영도구,15,173083
184,영도구,16,171776
185,영도구,17,170676
186,영도구,18,168739
187,영도구,19,164887
188,영도구,20,165605
189,영도구,21,166683
190,영도구,22,169006
191,영도구,23,170854
192,중구,0,52336
193,중구,1,49473
194,중구,2,47925
195,중구,3,46641
196,중구,4,45513
197,중구,5,45389
198,중구,6,45947
199,중구,7,47702
200,중구,8,54759
201,중구,9,66323
202,중구,10,73431
203,중구,11,79014
204,중구,12,88247
205,중구,13,96965
206,중구,14,105043
207,중구,15,108019
208,중구,16,108573
209,중구,17,104549
210,중구,18,103677
211,중구,19,94605
212,중구,20,84992
213,중구,21,76701
214,중구,22,68760
215,중구,23,59619
216,해운대구,0,195621
217,해운대구,1,192746
218,해운대구,2,190074
219,해운대구,3,189575
220,해운대구,4,188160
221,해운대구,5,187188
222,해운대구,6,186871
223,해운대구,7,189666
224,해운대구,8,198595
225,해운대구,9,201047
226,해운대구,10,209906
227,해운대구,11,219065
228,해운대구,12,227765
229,해운대구,13,234069
230,해운대구,14,241619
231,해운대구,15,243061
232,해운대구,16,241966
233,해운대구,17,236037
234,해운대구,18,227530
235,해운대구,19,222916
236,해운대구,20,220126
237,해운대구,21,210788
238,해운대구,22,199470
239,해운대구,23,195897
