,month,TIME,W_MAX
0,1월,0,12831
1,1월,1,10229
2,1월,2,8685
3,1월,3,8094
4,1월,4,7941
5,1월,5,8982
6,1월,6,13910
7,1월,7,32775
8,1월,8,80315
9,1월,9,158883
10,1월,10,189565
11,1월,11,201499
12,1월,12,197209
13,1월,13,202926
14,1월,14,206358
15,1월,15,204312
16,1월,16,199279
17,1월,17,186287
18,1월,18,150004
19,1월,19,87747
20,1월,20,62203
21,1월,21,41522
22,1월,22,26636
23,1월,23,17521
24,2월,0,14198
25,2월,1,11416
26,2월,2,9955
27,2월,3,9468
28,2월,4,9549
29,2월,5,10757
30,2월,6,16032
31,2월,7,35408
32,2월,8,84981
33,2월,9,163066
34,2월,10,192830
35,2월,11,203705
36,2월,12,197631
37,2월,13,204610
38,2월,14,207649
39,2월,15,205834
40,2월,16,200811
41,2월,17,186872
42,2월,18,146583
43,2월,19,86512
44,2월,20,62162
45,2월,21,42124
46,2월,22,28507
47,2월,23,19516
48,3월,0,11623
49,3월,1,9161
50,3월,2,7927
51,3월,3,7383
52,3월,4,7622
53,3월,5,8204
54,3월,6,11703
55,3월,7,28950
56,3월,8,64865
57,3월,9,122633
58,3월,10,155970
59,3월,11,164189
60,3월,12,160856
61,3월,13,163422
62,3월,14,166229
63,3월,15,173921
64,3월,16,170272
65,3월,17,159554
66,3월,18,130615
67,3월,19,72396
68,3월,20,51595
69,3월,21,34659
70,3월,22,24671
71,3월,23,15439
72,4월,0,15469
73,4월,1,12626
74,4월,2,11355
75,4월,3,10611
76,4월,4,10591
77,4월,5,11649
78,4월,6,16979
79,4월,7,39298
80,4월,8,91320
81,4월,9,146254
82,4월,10,171338
83,4월,11,181183
84,4월,12,176108
85,4월,13,182269
86,4월,14,184912
87,4월,15,182309
88,4월,16,177546
89,4월,17,163894
90,4월,18,130275
91,4월,19,76933
92,4월,20,54249
93,4월,21,36757
94,4월,22,24671
95,4월,23,17108
96,5월,0,19044
97,5월,1,15342
98,5월,2,13535
99,5월,3,12390
100,5월,4,11242
101,5월,5,12232
102,5월,6,18475
103,5월,7,42776
104,5월,8,95921
105,5월,9,147584
106,5월,10,171094
107,5월,11,180599
108,5월,12,175268
109,5월,13,181854
110,5월,14,183839
111,5월,15,181185
112,5월,16,175913
113,5월,17,162014
114,5월,18,125955
115,5월,19,75297
116,5월,20,55111
117,5월,21,38515
118,5월,22,26833
119,5월,23,20186
120,6월,0,18397
121,6월,1,14606
122,6월,2,13129
123,6월,3,12231
124,6월,4,12056
125,6월,5,13359
126,6월,6,20056
127,6월,7,44970
128,6월,8,100117
129,6월,9,152598
130,6월,10,175616
131,6월,11,184651
132,6월,12,179156
133,6월,13,185116
134,6월,14,187837
135,6월,15,185358
136,6월,16,179684
137,6월,17,166287
138,6월,18,129324
139,6월,19,77558
140,6월,20,56925
141,6월,21,39405
142,6월,22,27574
143,6월,23,19688
144,7월,0,12669
145,7월,1,10547
146,7월,2,9543
147,7월,3,9258
148,7월,4,9261
149,7월,5,10424
150,7월,6,16521
151,7월,7,36271
152,7월,8,82143
153,7월,9,139242
154,7월,10,159151
155,7월,11,166646
156,7월,12,159512
157,7월,13,168201
158,7월,14,169458
159,7월,15,167468
160,7월,16,162153
161,7월,17,147495
162,7월,18,107280
163,7월,19,65919
164,7월,20,48169
165,7월,21,33656
166,7월,22,22871
167,7월,23,16045
168,8월,0,10264
169,8월,1,7832
170,8월,2,6914
171,8월,3,6547
172,8월,4,6969
173,8월,5,8266
174,8월,6,17228
175,8월,7,44989
176,8월,8,102331
177,8월,9,149576
178,8월,10,168445
179,8월,11,175048
180,8월,12,168163
181,8월,13,177493
182,8월,14,179313
183,8월,15,177155
184,8월,16,171098
185,8월,17,155767
186,8월,18,112401
187,8월,19,67915
188,8월,20,49321
189,8월,21,33250
190,8월,22,21192
191,8월,23,13702
192,9월,0,10986
193,9월,1,8319
194,9월,2,7119
195,9월,3,6891
196,9월,4,6883
197,9월,5,9427
198,9월,6,19583
199,9월,7,48771
200,9월,8,106064
201,9월,9,155913
202,9월,10,174362
203,9월,11,180895
204,9월,12,172678
205,9월,13,182020
206,9월,14,182948
207,9월,15,180080
208,9월,16,172658
209,9월,17,153340
210,9월,18,104650
211,9월,19,68366
212,9월,20,49775
213,9월,21,32284
214,9월,22,20658
215,9월,23,14345
216,10월,0,12578
217,10월,1,9808
218,10월,2,8873
219,10월,3,8555
220,10월,4,8698
221,10월,5,11195
222,10월,6,21391
223,10월,7,49993
224,10월,8,107090
225,10월,9,157380
226,10월,10,175720
227,10월,11,181411
228,10월,12,174505
229,10월,13,183502
230,10월,14,184126
231,10월,15,182597
232,10월,16,175348
233,10월,17,155503
234,10월,18,104020
235,10월,19,68447
236,10월,20,50523
237,10월,21,33975
238,10월,22,22833
239,10월,23,15721
240,11월,0,11799
241,11월,1,9650
242,11월,2,8433
243,11월,3,7837
244,11월,4,8206
245,11월,5,10479
246,11월,6,20532
247,11월,7,50284
248,11월,8,110084
249,11월,9,164620
250,11월,10,184474
251,11월,11,191658
252,11월,12,182869
253,11월,13,192913
254,11월,14,193352
255,11월,15,190755
256,11월,16,183910
257,11월,17,161778
258,11월,18,106632
259,11월,19,70943
260,11월,20,52166
261,11월,21,34370
262,11월,22,22426
263,11월,23,15985
264,12월,0,13161
265,12월,1,10513
266,12월,2,9309
267,12월,3,9096
268,12월,4,9257
269,12월,5,11176
270,12월,6,20707
271,12월,7,49374
272,12월,8,109698
273,12월,9,164846
274,12월,10,185676
275,12월,11,193004
276,12월,12,184676
277,12월,13,194516
278,12월,14,194514
279,12월,15,191641
280,12월,16,185533
281,12월,17,162556
282,12월,18,108765
283,12월,19,72289
284,12월,20,51856
285,12월,21,35002
286,12월,22,23052
287,12월,23,17136
